Title,star-sum,product-price__regular,product sell price,Description,image,Category
"ThinkPad P17 Gen1 20SN000XGE - 17,3"" UHD IPS, Intel Core i9-10885H, 32 GB RAM, 1 TB SSD, RTX 5000, Windows 10 Pro",0,"5,503.74 €",,"43,9 cm (17,3"") 3840 x 2160 Pixel (Ultra HD) IPS
 Intel® Core™ i9 (10. Generation) 10885H CPU
 NVIDIA Quadro RTX 5000 16384 MB Grafik
 32 GB RAM | 1000 GB SSD
 Windows 10 Pro 64 Bit | Schwarz | 3.5 kg",https://media.nbb-cdn.de/images/products/700000/701310/P1712.jpg?size=2800,Notebook
,,,,,,Notebook
"ThinkPad T15g 20UR001KGE - 15,6"" UHD IPS, Intel Core i9-10885H, 32 GB RAM, 1 TB SSD, RTX 2080 SUPER Max-Q, Windows 10 Pro",0,"4.023,68 €",,"39,6 cm (15,6"") 3840 x 2160 Pixel (Ultra HD)
 Intel® Core™ i9 (10. Generation) 10885H CPU
 NVIDIA GeForce RTX 2080 Super 8192 MB Grafik
 32 GB RAM | 1000 GB SSD
 Windows 10 Pro 64 Bit | Schwarz | 2.74 kg",https://media.nbb-cdn.de/images/products/700000/701331/lenovo-laptop-thinkpad-t15g-gallery-2_(1).jpg?size=2800,Notebook
,,,,,,Notebook
"ThinkPad T15g 20UR001GGE - 15,6"" FHD IPS, Intel Core i9-10885H, 32 GB RAM, 1 TB SSD, RTX 2070 SUPER Max-Q, Windows 10 Pro",0,"3.614,96 €",,"39,6 cm (15,6"") 1920 x 1080 Pixel (Full HD)
 Intel® Core™ i9 (10. Generation) 10885H CPU
 NVIDIA GeForce RTX 2070 Super 8192 MB Grafik
 32 GB RAM | 1000 GB SSD
 Windows 10 Pro 64 Bit | Schwarz | 2.74 kg",https://media.nbb-cdn.de/images/products/700000/701333/lenovo-laptop-thinkpad-t15g-gallery-2_(1).jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 MVVM2D/A i9 2,3GHz, 16GB RAM, 1TB SSD, AMD Radeon Pro 5500M, macOS - Touch Bar",-7,"2.679,00 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M Grafik
 16 GB RAM | 1000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/630000/639700/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Space Grau 2019 MVVK2D/A i9 2,3GHz, 16GB RAM, 1TB SSD, AMD Radeon Pro 5500M, macOS - Touch Bar",-7,"2.699,00 €","3.199,00","40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M Grafik
 16 GB RAM | 1000 GB SSD
 macOS | Grau | 2 kg",https://media.nbb-cdn.de/images/products/630000/639699/MacBook_Pro16.jpg?size=2800,Notebook
,,,,,,Notebook
